test	binary	suite	required_stdout
legacy-dv_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-dv_matmul-dual.riscv	legacy-mt	[]
qsort	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/qsort.riscv	benchmark-configured	[]
legacy-dr_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-dr_matmul-dual.riscv	legacy-mt	[]
legacy-bo_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-bo_matmul-dual.riscv	legacy-mt	[]
spmv	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/spmv.riscv	benchmark-configured	[]
legacy-vvadd1-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-vvadd1-dual.riscv	legacy-mt	[]
legacy-az_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-az_matmul-dual.riscv	legacy-mt	[]
corrected-legacy-vvadd1-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/corrected/bin/corrected-legacy-vvadd1-dual.riscv	corrected-mt-supplement	[]
legacy-vvadd3-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-vvadd3-dual.riscv	legacy-mt	[]
memcpy	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/memcpy.riscv	benchmark-extra	[]
legacy-bc_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-bc_matmul-dual.riscv	legacy-mt	[]
corrected-mt-matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/corrected/bin/corrected-mt-matmul-dual.riscv	corrected-mt-supplement	[]
legacy-ar_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-ar_matmul-dual.riscv	legacy-mt	[]
mt-matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/mt-matmul-dual.riscv	benchmark-dual	[]
legacy-ds_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-ds_matmul-dual.riscv	legacy-mt	[]
legacy-ci_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-ci_matmul-dual.riscv	legacy-mt	[]
legacy-ai_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-ai_matmul-dual.riscv	legacy-mt	[]
dual-hart-smoke	${REPO_ROOT}/build/cpu-rebuilt/dual-hart-smoke.riscv	dual-hart-smoke	"[""PASS dual-hart: hart0+hart1, peer data visible, 256 atomic increments""]"
