test	binary	suite	required_stdout
legacy-ad_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-ad_matmul-dual.riscv	legacy-mt	[]
legacy-cl_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-cl_matmul-dual.riscv	legacy-mt	[]
legacy-br_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-br_matmul-dual.riscv	legacy-mt	[]
legacy-av_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-av_matmul-dual.riscv	legacy-mt	[]
legacy-vvadd2-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-vvadd2-dual.riscv	legacy-mt	[]
legacy-al_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-al_matmul-dual.riscv	legacy-mt	[]
legacy-bf_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-bf_matmul-dual.riscv	legacy-mt	[]
legacy-am_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-am_matmul-dual.riscv	legacy-mt	[]
chipyard-cpp-hello	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/chipyard-cpp-hello.riscv	chipyard-generic	"[""Hello World!""]"
mt-matmul	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/mt-matmul.riscv	benchmark-configured	[]
corrected-legacy-ae_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/corrected/bin/corrected-legacy-ae_matmul-dual.riscv	corrected-mt-supplement	[]
legacy-ak_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-ak_matmul-dual.riscv	legacy-mt	[]
legacy-cs_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-cs_matmul-dual.riscv	legacy-mt	[]
median	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/median.riscv	benchmark-configured	[]
legacy-dm_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-dm_matmul-dual.riscv	legacy-mt	[]
towers	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/towers.riscv	benchmark-configured	[]
legacy-bj_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-bj_matmul-dual.riscv	legacy-mt	[]
chipyard-hello	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/chipyard-hello.riscv	chipyard-generic	"[""Hello world""]"
