test	binary	suite	required_stdout
legacy-cf_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-cf_matmul-dual.riscv	legacy-mt	[]
legacy-cv_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-cv_matmul-dual.riscv	legacy-mt	[]
legacy-df_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-df_matmul-dual.riscv	legacy-mt	[]
legacy-do_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-do_matmul-dual.riscv	legacy-mt	[]
legacy-vvadd4-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-vvadd4-dual.riscv	legacy-mt	[]
legacy-cm_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-cm_matmul-dual.riscv	legacy-mt	[]
mt-vvadd	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/mt-vvadd.riscv	benchmark-configured	[]
legacy-at_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-at_matmul-dual.riscv	legacy-mt	[]
legacy-vvadd0-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-vvadd0-dual.riscv	legacy-mt	[]
legacy-aq_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-aq_matmul-dual.riscv	legacy-mt	[]
legacy-bs_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-bs_matmul-dual.riscv	legacy-mt	[]
legacy-an_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-an_matmul-dual.riscv	legacy-mt	[]
legacy-ae_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-ae_matmul-dual.riscv	legacy-mt	[]
legacy-ap_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-ap_matmul-dual.riscv	legacy-mt	[]
chipyard-mt-hello-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/chipyard-mt-hello-dual.riscv	chipyard-generic	"[""Hello world from core 0, a rocket"", ""Hello world from core 1, a rocket""]"
vvadd	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/vvadd.riscv	benchmark-configured	[]
legacy-bm_matmul-dual	${REPO_ROOT}/build/cpu-rebuilt/bench/bin/legacy-bm_matmul-dual.riscv	legacy-mt	[]
